id;domain;is_legal;is_automated;is_interesting;is_interesting_desc
95;jb4.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
96;app.inkind.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
97;lock.authvia.com;f;f;f;
98;lyft.sng.link;f;f;f;DATA_INTERESTING_DESC_NO_AD
99;gra.cx;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
100;tiny.one;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
101;oot.rs;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
102;trn1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
103;support.bondora.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
104;py.pl;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
105;kcs-airdrop.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
106;gl0.me;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
107;fntl1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD
108;inboxd.co;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
109;www.amazon.it;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
110;sd2.in;f;f;f;DATA_INTERESTING_DESC_NO_AD
111;yelp.to;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
112;signal.org;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
113;updatesafetymyid.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
114;seven.casino;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
115;unv.viber.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
116;tinyurl.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
117;hadotx.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
118;device.proveapis.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
